seed,split,subject_id,F1,IoU,L1,EdgeLoss
9317,valid43,valid__m2-096-01,0.6464077379466904,0.4775498176726665,0.08791444450616837,0.2733376920223236
9317,valid43,valid__m2-097-01,0.6786795947269466,0.5136374130139132,0.10493814945220947,0.2716049253940582
9317,valid43,valid__m2-098-01,0.7780381159712972,0.6367122625839791,0.09709476679563522,0.2578141391277313
9317,valid43,valid__m2-099-01,0.8028593371535018,0.6706474536120968,0.09141258150339127,0.2787138819694519
9317,valid43,valid__m2-100-01,0.674450334384425,0.5088080453561997,0.10520332306623459,0.29379335045814514
9317,valid43,valid__m2-101-01,0.7436260109526088,0.5918826857570025,0.11611484736204147,0.2897185683250427
9317,valid43,valid__m2-102-01,0.6888336793382758,0.5253594974820834,0.13868549466133118,0.3138059377670288
9317,valid43,valid__m2-103-01,0.695379727284609,0.5330131240696343,0.100040964782238,0.26214271783828735
9317,valid43,valid__m2-104-01,0.6799803568504247,0.5151289682538264,0.1348097324371338,0.3220751881599426
9317,valid43,valid__m2-105-01,0.7751855966423716,0.6329004578304492,0.11276012659072876,0.28828996419906616
9317,valid43,valid__m2-106-01,0.7501224145207682,0.6001567059330487,0.12368917465209961,0.320974200963974
9317,valid43,valid__m2-107-01,0.6926724295144084,0.5298384621821473,0.1307777315378189,0.3059881925582886
3407,test42,test__m2-022-01,0.7059699587250104,0.5455591726676052,0.10541430860757828,0.2801676392555237
3407,test42,test__m2-023-01,0.7373575563402015,0.5839797007005035,0.11891815811395645,0.30799710750579834
3407,test42,test__m2-024-01,0.6519777158772557,0.4836549985533398,0.08789493888616562,0.24756893515586853
3407,test42,test__m2-025-01,0.7859712230213686,0.6474074074071168,0.07687657326459885,0.21761766076087952
3407,test42,test__m2-026-01,0.6984469588383896,0.5366258129711252,0.14334523677825928,0.3346768617630005
3407,test42,test__m2-027-01,0.7975752240715435,0.6633057136199583,0.09542924910783768,0.2708858847618103
3407,test42,test__m2-028-01,0.707780654934787,0.5477248561845885,0.12965627014636993,0.3316173851490021
3407,test42,test__m2-029-01,0.7910208030961218,0.6542881838842864,0.0888512060046196,0.2722168266773224
3407,test42,test__m2-030-01,0.648967833325272,0.48034965364486115,0.16203619539737701,0.3661380112171173
3407,test42,test__m2-031-01,0.7151658965070741,0.5566211969022594,0.10112034529447556,0.3019406795501709
3407,test42,test__m2-033-01,0.5694987038591096,0.39811128126585044,0.1688733845949173,0.35390472412109375
3407,test42,test__m2-034-01,0.7360311605941305,0.582317488886912,0.1399110108613968,0.3311028480529785
3407,test42,test__m2-035-01,0.7142794046197796,0.555547921676209,0.10019654780626297,0.30359697341918945
3407,test42,test__m2-036-01,0.7218952397368135,0.56481695568379,0.09619224071502686,0.24718376994132996
3407,test42,test__m2-037-01,0.6076271821381944,0.4363969005595038,0.14812913537025452,0.33335405588150024
3407,test42,test__m2-038-01,0.7586652314314837,0.6111689212623617,0.0984777882695198,0.24945269525051117
3407,test42,test__m2-039-01,0.49898255813941406,0.33242955359725884,0.13604174554347992,0.30718696117401123
3407,test42,test__m2-040-01,0.657486431839809,0.48974285804860973,0.12562574446201324,0.29372042417526245
3407,test42,test__m2-041-01,0.644249338031686,0.4751975094715043,0.12699280679225922,0.3231101632118225
3407,test42,test__m2-042-01,0.7698708544766192,0.6258455522969205,0.09449288994073868,0.23346833884716034
3407,test42,test__m2-043-01,0.6523606781721561,0.48407661278934755,0.13275586068630219,0.3237687349319458
3407,test42,test__m2-044-01,0.6292622442651941,0.45906829488903067,0.1125505268573761,0.2869826555252075
